9417027985116537874	0
17885712477553841827	1
12364305232975025301	2
5861236920474150580	3
14776963886974432617	4
4918248738990862854	5
1189372031415281554	6
13768681414098989552	7
8548459622795263123	8
10274634768470326663	9
8852477614386305826	10
9239033582631703920	11
2968109516008180923	12
8102555979252726806	13
2415336522048200082	14
11982180346022975716	15
16294740304317166071	16
5030287820903022256	17
6653125035176381726	18
14683730452781652828	19
7845996842586811293	20
18030290211811381931	21
1990815250232560469	22
13451921668877089297	23
12567278598382711673	24
325297506109946162	25
5768135739777770625	26
17961688031718355877	27
11004311922036768105	28
6890836157205903026	29
4093117897947941879	30
11271283818296815870	31
15140606325962844008	32
17841021884467483934	33
5289975540564561065	34
182294106394050372	35
9532616874278730663	36
11877821182283016970	37
6789949526291140494	38
4235582421348372896	39
12625644522103963088	40
15832194038168103284	41
16517430688812113738	42
2946515742423509253	43
17461870934424612014	44
13277099858306265723	45
13107315588266046507	46
5486192513237730096	47
6570160390384532421	48
13353788740943697364	49
18170569288120270795	50
7942167273978243320	51
5168928576560153329	52
3743302369269104083	53
4022033864548633852	54
9241506431083354053	55
17863885658126095573	56
2514161205308689788	57
15816303297661006461	58
